clg_name,rating,fees,pkg,STATE,CLG_ID
"Moodalakatte Institute of Technology - [MITK], Udupi",6.4,70000,192000,KA,KAMo6
"Guru Nanak Dev Engineering College - [GNDEC ], Bidar",7.3,81000,2500000,KA,KAGu7
"Coorg Institute of Technology - [CIT], Kodagu",7.3,90340,1200000,KA,KACo7
"Government Engineering College - [GECH], Hassan",7.6,76360,600000,KA,KAGo7
"Bapuji Institute of Engineering and Technology - [BIET], Davanagere",7.6,93000,1000000,KA,KABa7
"Bahubali College of Engineering - [BCE], Hassan",7.7,87220,300000,KA,KABa7
"GM Institute of Technology - [GMIT], Davanagere",7.7,130000,240000,KA,KAGM7
"Indian Institute of information technology -[IIIT], Raichur",7.7,200000,8500000,KA,KAIn7
"Indian Institute of Information Technology - [IIITD], Dharwad",7.8,355000,5300000,KA,KAIn7
"Adichunchanagiri University - [ACU], Mandya",7.9,56930,1000000,KA,KAAd7
"PES College of Engineering - [PESCE], Mandya",8.0,76800,450000,KA,KAPE8
"NMAM Institute of Technology - [NMAMIT], Udupi",8.0,100000,4300000,KA,KANM8
"Rajeev Institute of Technology - [RIT], Hassan",8.0,235000,320000,KA,KARa8
"Malnad College of Engineering - [MCE], Hassan",8.0,238000,2000000,KA,KAMa8
"Tontadarya College of Engineering, Gadag",8.1,143748,420000,KA,KATo8
"BGS Institute of Technology - [BGSIT], Mandya",8.3,200000,550000,KA,KABG8
"SDM College of Engineering and Technology - [SDMCET], Dharwad",8.3,350000,200000,KA,KASD8
"Amrita Vishwa Vidyapeetham Bengaluru Campus, Bangalore",8.5,100000,850000,KA,KAAm8
"IIT Dharwad - Indian Institute of Technology - [IITD], Dharwad",8.8,241500,2038000,KA,KAII8
