ID,Name
1,Agra
2,Aligarh
3,PrayagRaj
4,Ambedkar Nagar
5,Amroha
6,Auraiya
7,Azamgarh
8,Badaun
9,Bahraich
10,Ballia
11,Balrampur
12,Banda District
13,Barabanki
14,Bareilly
15,Basti
16,Bijnor
17,Bulandshahr
18,Chandauli(Varanasi Dehat)
19,Chitrakoot
20,Deoria
21,Etah
22,Etawah
23,Faizabad
24,Farrukhabad
25,Fatehpur
26,Firozabad
27,Gautam Buddha Nagar
28,Ghaziabad
29,Ghazipur
30,Gonda
31,Gorakhpur
32,Hamirpur
33,Hapur District
34,Hardoi
35,Hathras
36,Jaunpur District
37,Jhansi
38,Kannauj
39,Kanpur Dehat
40,Kanpur Nagar
41,Kasganj
42,Kaushambi
43,Kushinagar
44,Lakhimpur Kheri
45,Lalitpur
46,Lucknow
47,Maharajganj
48,Mahoba
49,Mainpuri
50,Mathura
51,Mau
52,Meerut
53,Mirzapur
54,Moradabad
55,Muzaffarnagar
56,Pilibhit
57,Pratapgarh
58,Rae Bareli
59,Rampur
60,Saharanpur
61,Sant Kabir Nagar
62,Sant Ravidas Nagar
63,Sambhal
64,Shahjahanpur
65,Shamli
66,Shravasti
67,Siddharthnagar
68,Sitapur
69,Sonbhadra
70,Sultanpur
71,Unnao
72,Varanasi (Kashi)
73,Allahabad
74,Amethi
75,Bagpat
